record_index,drug_name,model_id,canonical_smiles,ic50_original,ic50_transformed,split
21,JQ1,ACH-000745,CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,-2.23016808,0.44447573931024287,train
22,Amuvatinib,ACH-000631,C1CN(CCN1C2=NC=NC3=C2OC4=CC=CC=C43)C(=S)NCC5=CC6=C(C=C5)OCO6,-0.10738773,0.4973153325498832,train
23,Bryostatin 1,ACH-000547,CCCC=CC=CC(=O)OC1C(=CC(=O)OC)CC2CC(OC(=O)CC(CC3CC(C(C(O3)(CC4CC(=CC(=O)OC)CC(O4)C=CC(C1(O2)O)(C)C)O)(C)C)OC(=O)C)O)C(C)O,-4.07117132,0.39960357984567463,train
24,TAK-715,ACH-000482,CCC1=NC(=C(S1)C2=CC(=NC=C2)NC(=O)C3=CC=CC=C3)C4=CC=CC(=C4)C,3.92788508,0.5969537952147322,train
25,CP466722,ACH-000115,COC1=C(C=C2C(=C1)C(=NC=N2)N3C(=NC(=N3)C4=CC=CC=N4)N)OC,1.81661951,0.5452910019304994,train
26,CI-1040,ACH-000334,C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl,4.87751801,0.6195766712869987,train
27,Axitinib,ACH-000055,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4,1.60231905,0.5399724908014932,train
28,Y-39983,ACH-000973,CC(C1=CC=C(C=C1)C(=O)NC2=C3C=CNC3=NC=C2)N.Cl,4.17839534,0.6029661539192415,train
29,Epothilone B,ACH-000677,CC1CCCC2(C(O2)CC(OC(=O)CC(C(C(=O)C(C1O)C)(C)C)O)C(=CC3=CSC(=N3)C)C)C,-4.09473652,0.39903833624079965,train
30,AZD7762,ACH-000365,C1CC(CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N,-0.9281022,0.4768140857250161,train
31,NSC-87877,ACH-000221,C1=CC2=C(C=C(C(=C2N=C1)O)N=NC3=CC4=C(C=C3)C=C(C=C4)S(=O)(=O)O)S(=O)(=O)O,5.40744428,0.631985573662892,train
32,Pelitinib,ACH-000563,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)F)Cl)C#N)NC(=O)C=CCN(C)C,2.52786675,0.5628622773154911,train
33,Selisistat,ACH-000987,C1CC(C2=C(C1)C3=C(N2)C=CC(=C3)Cl)C(=O)N,5.75469208,0.6400242061813524,train
34,GSK650394,ACH-000729,C1CCC(C1)C2=C(C=CC(=C2)C3=CNC4=C3C=C(C=N4)C5=CC=CC=C5)C(=O)O,3.82650938,0.594512317501764,train
35,SB52334,ACH-002290,C1=CC=C(C=C1)C2=C(C=CC=N2)C(=O)O,4.65787476,0.614386225073754,train
36,Docetaxel,ACH-000269,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,-4.35709112,0.39276387556854453,train
37,Piperlongumine,ACH-000473,COC1=CC(=CC(=C1OC)OC)C=CC(=O)N2CCC=CC2=O,1.54952169,0.5386607189691512,train
38,RO-3306,ACH-000679,C1=CC2=C(C=CC(=C2)C=C3C(=O)NC(=NCC4=CC=CS4)S3)N=C1,4.33549799,0.606721008309564,train
39,JQ1,ACH-000674,CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,3.46884463,0.5858618659851181,train
40,Vinorelbine,ACH-000633,CCC1=CC2CC(C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC,-2.27335804,0.44340956286711297,train
41,FTI-277,ACH-000294,COC(=O)C(CCSC)NC(=O)C1=C(C=C(C=C1)NCC(CS)N)C2=CC=CC=C2,1.81372154,0.5452191461911811,train
42,VX-702,ACH-000691,C1=CC(=C(C(=C1)F)N(C2=NC(=C(C=C2)C(=O)N)C3=C(C=C(C=C3)F)F)C(=O)N)F,2.90097245,0.5720199399508908,train
43,Bexarotene,ACH-000021,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,4.45161807,0.6094882963688547,train
44,Temsirolimus,ACH-000504,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OC(=O)C(C)(CO)CO)C)C)O)OC)C)C)C)OC,-1.7121303,0.4573009977711438,train
45,UNC1215,ACH-000544,C1CCN(C1)C2CCN(CC2)C(=O)C3=CC(=C(C=C3)C(=O)N4CCC(CC4)N5CCCC5)NC6=CC=CC=C6,2.89290328,0.5718223846058487,train
46,Enzastaurin,ACH-002045,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C6CCN(CC6)CC7=CC=CC=N7,3.78445206,0.5934980508622418,train
47,SB216763,ACH-000472,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,4.64806809,0.6141538635287509,train
48,OSI-027,ACH-000945,COC1=CC=CC2=C1NC(=C2)C3=C4C(=NC=NN4C(=N3)C5CCC(CC5)C(=O)O)N,-0.26510276,0.49337281912443864,train
49,QL-XI-92,ACH-000456,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)NC(=O)C=C)C(F)(F)F)NC(=O)C3=CC=NO3,3.55125456,0.5878599343764717,train
50,CP724714,ACH-000667,CC1=NC=C(C=C1)OC2=C(C=C(C=C2)NC3=NC=NC4=C3C=C(C=C4)C=CCNC(=O)COC)C,4.37601682,0.6076874114350099,train
51,Refametinib,ACH-000855,COC1=CC(=C(C(=C1NS(=O)(=O)C2(CC2)CC(CO)O)NC3=C(C=C(C=C3)I)F)F)F,2.85120887,0.5708012279139069,train
52,NPK76-II-72-1,ACH-000725,CC1CC(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C,3.25249202,0.5806029875133245,train
53,NVP-TAE684,ACH-002077,CC(C)S(=O)(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCC(CC4)N5CCN(CC5)C)OC,2.13136764,0.5530833901449387,train
54,GSK269962A,ACH-000977,CCN1C2=CC(=NC=C2N=C1C3=NON=C3N)OC4=CC=CC(=C4)NC(=O)C5=CC=C(C=C5)OCCN6CCOCC6,3.7951288,0.5937556101429319,train
55,WHI-P97,ACH-000059,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C(=C3)Br)O)Br)OC,2.53057526,0.562928918617765,train
56,SB590885,ACH-000425,CN(C)CCOC1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC5=C(C=C4)C(=NO)CC5,3.86546969,0.5954511767532675,train
57,Bryostatin 1,ACH-000441,CCCC=CC=CC(=O)OC1C(=CC(=O)OC)CC2CC(OC(=O)CC(CC3CC(C(C(O3)(CC4CC(=CC(=O)OC)CC(O4)C=CC(C1(O2)O)(C)C)O)(C)C)OC(=O)C)O)C(C)O,-2.34544209,0.441631279482033,train
58,FR-180204,ACH-000006,C1=CC=C(C=C1)C2=NN3C=CC=CC3=C2C4=CC5=C(NN=C5N=N4)N,3.59669425,0.5889604088182381,train
59,Quizartinib,ACH-000810,CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=CN4C5=C(C=C(C=C5)OCCN6CCOCC6)SC4=N3,2.71563064,0.5674765945828266,train
60,Motesanib,ACH-000805,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C,3.5571991,0.5880039515411769,train
61,WHI-P97,ACH-000481,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C(=C3)Br)O)Br)OC,3.78721812,0.5935647825780078,train
62,Methotrexate,ACH-000379,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,1.12592521,0.5281184315669784,train
63,VNLG/124,ACH-000356,CCCC(=O)OCC1=CC=C(C=C1)OC(=O)C=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C,4.51693346,0.6110417666220667,train
64,T0901317,ACH-000222,C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,5.69704449,0.6386949755015269,train
65,Pevonedistat,ACH-000188,C1CC2=CC=CC=C2C1NC3=C4C=CN(C4=NC=N3)C5CC(C(C5)O)COS(=O)(=O)N,1.19389139,0.5298118821921384,train
66,T0901317,ACH-000250,C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,4.62376178,0.6135777200089167,train
67,PAC-1,ACH-000269,C=CCC1=C(C(=CC=C1)C=NNC(=O)CN2CCN(CC2)CC3=CC=CC=C3)O,2.46502541,0.5613154706611848,train
68,AZD7762,ACH-001496,C1CC(CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N,-0.64943815,0.4837697503748195,train
69,KIN001-270,ACH-000552,CC1=C(C=C(C=C1)NC2=NC=NC(=C2)C3=CC(=CC=C3)N4C(=O)C5=CC=CC=C5C4=O)NS(=O)(=O)C,5.2324907,0.6279071931496311,train
70,CX-5461,ACH-000940,CC1=CN=C(C=N1)CNC(=O)C2=C3N(C4=CC=CC=C4S3)C5=C(C2=O)C=CC(=N5)N6CCCN(CC6)C,5.15116894,0.6260052257065997,train
71,Mitomycin-C,ACH-000679,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,-0.9317619,0.4767227907412805,train
72,5-Fluorouracil,ACH-000971,C1=C(C(=O)NC(=O)N1)F,0.99433878,0.5248380082236309,train
73,GSK690693,ACH-000148,CCN1C2=C(C(=NC=C2OCC3CCCNC3)C#CC(C)(C)O)N=C1C4=NON=C4N,5.21897503,0.6275913588218979,train
74,Ispinesib Mesylate,ACH-000614,CC1=CC=C(C=C1)C(=O)N(CCCN)C(C2=NC3=C(C=CC(=C3)Cl)C(=O)N2CC4=CC=CC=C4)C(C)C.CS(=O)(=O)O,-0.82225667,0.4794551573558634,train
75,WZ3105,ACH-000335,CC(C)N1C=NC2=C(N=C(N=C21)NC3CCC(CC3)N(C)C)NC4=CC(=CC=C4)NC(=O)C=C,2.38033298,0.559228929706949,train
76,Tubastatin A,ACH-000181,CN1CCC2=C(C1)C3=CC=CC=C3N2CC4=CC=C(C=C4)C(=O)NO,4.91953387,0.6205664923183517,train
77,VNLG/124,ACH-000989,CCCC(=O)OCC1=CC=C(C=C1)OC(=O)C=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C,3.89514078,0.5961657179970058,train
78,Enzastaurin,ACH-000691,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C6CCN(CC6)CC7=CC=CC=N7,4.76291067,0.6168716826055033,train
79,UNC1215,ACH-000892,C1CCN(C1)C2CCN(CC2)C(=O)C3=CC(=C(C=C3)C(=O)N4CCC(CC4)N5CCCC5)NC6=CC=CC=C6,3.01789618,0.5748799454139202,train
80,Bortezomib,ACH-000452,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,-7.2970656,0.3252591241086014,train
81,Navitoclax,ACH-000914,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)NC(CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C,1.81478854,0.5452456028864203,train
82,Selumetinib,ACH-000295,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,3.73349658,0.5922681252548655,train
83,I-BET-762,ACH-000800,CCNC(=O)CC1C2=NN=C(N2C3=C(C=C(C=C3)OC)C(=N1)C4=CC=C(C=C4)Cl)C,1.61417942,0.5402670910003583,train
84,GSK1904529A,ACH-001716,CCC1=CC(=C(C=C1N2CCC(CC2)N3CCN(CC3)S(=O)(=O)C)OC)NC4=NC=CC(=N4)C5=C(N=C6N5C=CC=C6)C7=CC(=C(C=C7)OC)C(=O)NC8=C(C=CC=C8F)F,2.33264841,0.5580532136889852,train
85,Avagacestat,ACH-000009,C1=CC(=CC=C1S(=O)(=O)N(CC2=C(C=C(C=C2)C3=NOC=N3)F)C(CCC(F)(F)F)C(=O)N)Cl,4.53272213,0.6114169496543546,train
86,Vismodegib,ACH-000380,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl,2.85379166,0.5708645018019445,train
87,XMD14-99,ACH-000362,CN1CCN(CC1)C2=CC(=C(C=C2)NC3=NC(=C(S3)C(=O)C4=C(C=CC=C4Cl)Cl)N)OC,2.02238974,0.5503881184246798,train
88,KIN001-244,ACH-000155,C1=CC=C(C=C1)C(COC2=CC3=C(C=C2)NC(=O)N3)NC(=O)C4=CC=CN(C4=O)CC5=CC(=C(C=C5)F)F,4.66409497,0.6145335811820751,train
89,WIKI4,ACH-000981,COC1=CC=C(C=C1)N2C(=NN=C2SCCCN3C(=O)C4=CC=CC5=C4C(=CC=C5)C3=O)C6=CC=NC=C6,-0.0345369,0.4991365783582391,train
90,PF-4708671,ACH-000991,CCC1=CN=CN=C1N2CCN(CC2)CC3=NC4=C(N3)C=C(C=C4)C(F)(F)F,4.63314359,0.6138001391027534,train
91,PF-4708671,ACH-000304,CCC1=CN=CN=C1N2CCN(CC2)CC3=NC4=C(N3)C=C(C=C4)C(F)(F)F,3.53707182,0.5875162712894345,train
92,LFM-A13,ACH-000105,CC(=C(C#N)C(=O)NC1=C(C=CC(=C1)Br)Br)O,3.15119336,0.5781343386123822,train
93,Daporinad,ACH-000587,C1CN(CCC1CCCCNC(=O)C=CC2=CN=CC=C2)C(=O)C3=CC=CC=C3,1.98702641,0.5495128587418258,train
94,Ruxolitinib,ACH-001368,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,4.13488469,0.6019240525556175,train
95,CP724714,ACH-000137,CC1=NC=C(C=C1)OC2=C(C=C(C=C2)NC3=NC=NC4=C3C=C(C=C4)C=CCNC(=O)COC)C,3.68082334,0.5909955215767209,train
96,Selisistat,ACH-000400,C1CC(C2=C(C1)C3=C(N2)C=CC(=C3)Cl)C(=O)N,5.44365198,0.6328272884893833,train
97,GW-2580,ACH-000551,COC1=CC=C(C=C1)COC2=C(C=C(C=C2)CC3=CN=C(N=C3N)N)OC,5.07909496,0.624316283813892,train
98,Bicalutamide,ACH-000918,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,3.20633747,0.5794786933799035,train
99,KU-55933,ACH-000586,C1COCCN1C2=CC(=O)C=C(O2)C3=C4C(=CC=C3)SC5=CC=CC=C5S4,3.47315783,0.5859665123048339,train
100,OSU-03012,ACH-000243,C1=CC=C2C(=C1)C=CC3=C2C=CC(=C3)C4=CC(=NN4C5=CC=C(C=C5)NC(=O)CN)C(F)(F)F,4.97502622,0.6218722588634971,train
101,Saracatinib,ACH-000151,CN1CCN(CC1)CCOC2=CC3=C(C(=C2)OC4CCOCC4)C(=NC=N3)NC5=C(C=CC6=C5OCO6)Cl,2.17692502,0.5542092130659689,train
102,Bicalutamide,ACH-000447,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,2.1020133,0.5523576906873877,train
103,IOX2,ACH-001334,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=C(C2=O)C(=O)NCC(=O)O)O,0.42442717,0.5106090867110242,train
104,NU7441,ACH-000756,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC5=C4SC6=CC=CC=C56,2.39631911,0.5596229375266543,train
105,SB52334,ACH-000703,C1=CC=C(C=C1)C2=C(C=CC=N2)C(=O)O,3.89693486,0.5962089101142679,train
106,GNF-2,ACH-000579,C1=CC(=CC(=C1)C(=O)N)C2=CC(=NC=N2)NC3=CC=C(C=C3)OC(F)(F)F,2.50496351,0.5622986660112079,train
107,Bicalutamide,ACH-000227,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,2.77985795,0.5690523457330978,train
108,UNC1215,ACH-000937,C1CCN(C1)C2CCN(CC2)C(=O)C3=CC(=C(C=C3)C(=O)N4CCC(CC4)N5CCCC5)NC6=CC=CC=C6,2.1520234,0.5535939075106219,train
109,Veliparib,ACH-000953,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,3.2534074,0.5806252771409648,train
110,Cabozantinib,ACH-001625,COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F,2.03155865,0.5506150027247908,train
111,SB590885,ACH-000320,CN(C)CCOC1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC5=C(C=C4)C(=NO)CC5,0.78464901,0.5196061671081451,train
112,Ruxolitinib,ACH-000750,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,3.85391011,0.5951726884056748,train
113,Parthenolide,ACH-000065,CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C,1.36862123,0.5341622223225251,train
114,Alectinib,ACH-000448,CCC1=CC2=C(C=C1N3CCC(CC3)N4CCOCC4)C(C5=C(C2=O)C6=C(N5)C=C(C=C6)C#N)(C)C,4.24007664,0.604441849821151,train
115,Motesanib,ACH-000583,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C,1.58559909,0.5395571356537183,train
116,Luminespib,ACH-000425,CCNC(=O)C1=NOC(=C1C2=CC=C(C=C2)CN3CCOCC3)C4=CC(=C(C=C4O)O)C(C)C,-2.51638787,0.43742017896533836,train
117,Olaparib,ACH-002170,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,4.52513316,0.6112366309138578,train
118,Y-39983,ACH-000231,CC(C1=CC=C(C=C1)C(=O)NC2=C3C=CNC3=NC=C2)N.Cl,4.01349561,0.5990118634165067,train
119,XMD8-85,ACH-000491,CN1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C4C(=N3)N(C5=CC=CC=C5C(=O)N4C)C)OC,1.86808762,0.5465668469352528,train
120,QS11,ACH-000744,C1CC2=C(C1)C=C(C=C2)OC3=NC(=C4C(=N3)N(C=N4)CC5=CC=C(C=C5)C6=CC=CC=C6)NC(CC7=CC=CC=C7)CO,3.85160523,0.5951171529112534,train
121,Veliparib,ACH-000800,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,4.3855733,0.607915217726712,train
122,LFM-A13,ACH-000176,CC(=C(C#N)C(=O)NC1=C(C=CC(=C1)Br)Br)O,4.63585182,0.6138643355882586,train
123,WZ3105,ACH-000483,CC(C)N1C=NC2=C(N=C(N=C21)NC3CCC(CC3)N(C)C)NC4=CC(=CC=C4)NC(=O)C=C,-0.47155654,0.48821327055473857,train
124,BMS-509744,ACH-000864,CC1=CC(=C(C=C1SC2=CN=C(S2)NC(=O)C3=CC=C(C=C3)CNC(C)C(C)(C)C)C(=O)N4CCN(CC4)C(=O)C)OC,4.36945719,0.6075310165695236,train
125,CCT007093,ACH-000601,C1CC(=CC2=CC=CS2)C(=O)C1=CC3=CC=CS3,4.59164313,0.6128159092405117,train
126,Selisistat,ACH-000847,C1CC(C2=C(C1)C3=C(N2)C=CC(=C3)Cl)C(=O)N,4.45003946,0.6094507228577788,train
127,Luminespib,ACH-000522,CCNC(=O)C1=NOC(=C1C2=CC=C(C=C2)CN3CCOCC3)C4=CC(=C(C=C4O)O)C(C)C,-3.76032816,0.40708408882203734,train
128,FMK,ACH-000411,CC1=CC=C(C=C1)C2=C(N(C3=NC=NC(=C23)N)CCCO)C(=O)CF,4.50423333,0.6107398804474908,train
129,Ruxolitinib,ACH-000464,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,4.67370993,0.614761317237411,train
130,ZM447439,ACH-000896,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)NC(=O)C4=CC=CC=C4)OCCCN5CCOCC5,3.41922868,0.5846575348149549,train
131,Talazoparib,ACH-000766,CN1C(=NC=N1)C2C(NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F,3.29519856,0.5816425458262489,train
132,Bosutinib,ACH-000770,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,1.89030183,0.5471173279270743,train
133,GW441756,ACH-000848,CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC=N4)NC3=O.Cl,1.40071964,0.5349608482444654,train
134,AKT inhibitor VIII,ACH-000892,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CC4=CC=C(C=C4)C5=C(N=C6C=C7C(=NC=N7)C=C6N5)C8=CC=CC=C8,-0.01321074,0.499669731548033,train
135,Idelalisib,ACH-000855,CCC(C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,5.20982811,0.6273775516626378,train
136,WZ3105,ACH-001418,CC(C)N1C=NC2=C(N=C(N=C21)NC3CCC(CC3)N(C)C)NC4=CC(=CC=C4)NC(=O)C=C,1.03127147,0.5257589614685005,train
137,Sepantronium bromide,ACH-000482,CC1=[N+](C2=C(N1CCOC)C(=O)C3=CC=CC=C3C2=O)CC4=NC=CN=C4.[Br-],-3.32764372,0.41756816128093427,train
138,Pictilisib,ACH-000023,CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6,0.54019676,0.5135016358707971,train
139,PIK-93,ACH-000476,CC1=C(SC(=N1)NC(=O)C)C2=CC(=C(C=C2)Cl)S(=O)(=O)NCCO,1.70151817,0.5424356218777157,train
140,KIN001-244,ACH-000303,C1=CC=C(C=C1)C(COC2=CC3=C(C=C2)NC(=O)N3)NC(=O)C4=CC=CN(C4=O)CC5=CC(=C(C=C5)F)F,3.87899203,0.5957768730598035,train
141,Navitoclax,ACH-000420,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)NC(CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C,3.33091566,0.5825114117863156,train
142,Dacinostat,ACH-000217,C1=CC=C2C(=C1)C(=CN2)CCN(CCO)CC3=CC=C(C=C3)C=CC(=O)NO,-3.01854769,0.42510413221582527,train
